['s3', '192.240.1.2', 7.43564510345459, 1653749066.460603, 'hit']
['s3', '192.240.1.2', 8.01115608215332, 1653749067.036114, 'hit']
['s3', '192.240.1.2', 8.073460102081299, 1653749067.098418, 'hit']
['s3', '192.240.1.2', 8.63993501663208, 1653749067.664894, 'hit']
['s3', '192.240.1.2', 9.25291109085083, 1653749068.277869, 'hit']
['s3', '192.240.1.2', 9.337031126022339, 1653749068.361989, 'hit']
['s3', '192.240.1.2', 9.807392120361328, 1653749068.83235, 'hit']
['s3', '192.240.1.2', 9.851149082183838, 1653749068.876107, 'hit']
['s3', '192.240.1.2', 10.342651128768921, 1653749069.367609, 'hit']
['s3', '192.240.1.2', 10.947991132736206, 1653749069.972949, 'hit']
['s3', '192.0.1.8', 11.326965093612671, 1653749070.351924, 'hit']
['s3', '192.240.1.2', 11.579268217086792, 1653749070.604226, 'hit']
['s3', '192.240.1.2', 11.717573165893555, 1653749070.742531, 'hit']
['s3', '192.0.10.115', 11.763590097427368, 1653749070.788549, 'hit']
['s3', '192.0.1.8', 12.029880046844482, 1653749071.054838, 'hit']
['s3', '192.240.1.2', 12.263917207717896, 1653749071.288875, 'hit']
['s3', '192.240.1.4', 12.43349313735962, 1653749071.458451, 'hit']
['s3', '192.0.1.8', 12.675020217895508, 1653749071.699978, 'hit']
['s3', '192.0.1.7', 12.74982213973999, 1653749071.77478, 'hit']
['s3', '192.240.1.2', 12.939227104187012, 1653749071.964185, 'hit']
['s3', '192.240.10.110', 12.996532201766968, 1653749072.02149, 'hit']
['s3', '192.240.1.4', 13.140079021453857, 1653749072.165037, 'hit']
['s3', '192.240.1.3', 13.178008079528809, 1653749072.202967, 'hit']
['s3', '192.0.1.8', 13.397457122802734, 1653749072.422415, 'hit']
['s3', '192.240.1.2', 13.573897123336792, 1653749072.598855, 'hit']
['s3', '192.240.1.2', 13.619500160217285, 1653749072.644458, 'hit']
['s3', '192.240.1.4', 13.736157178878784, 1653749072.761115, 'hit']
['s3', '192.240.1.3', 13.880515098571777, 1653749072.905474, 'hit']
['s3', '192.0.1.8', 14.01006817817688, 1653749073.035026, 'hit']
['s3', '192.0.1.7', 14.070500135421753, 1653749073.095458, 'hit']
['s3', '192.240.1.2', 14.187664031982422, 1653749073.212623, 'hit']
['s3', '192.240.1.2', 14.293159008026123, 1653749073.318117, 'hit']
['s3', '192.240.1.4', 14.425952196121216, 1653749073.450911, 'hit']
['s3', '192.0.1.8', 14.643570184707642, 1653749073.668529, 'hit']
['s3', '192.240.1.2', 14.85693621635437, 1653749073.881895, 'hit']
['s3', '192.240.1.2', 14.897486209869385, 1653749073.922444, 'hit']
['s3', '192.240.1.1', 14.985620021820068, 1653749074.010578, 'hit']
['s3', '192.240.1.4', 15.020164012908936, 1653749074.045123, 'hit']
['s3', '192.0.1.8', 15.231216192245483, 1653749074.256174, 'hit']
['s3', '192.0.1.7', 15.295644044876099, 1653749074.320602, 'hit']
['s3', '192.0.1.10', 15.330734014511108, 1653749074.355692, 'hit']
['s3', '192.240.1.2', 15.505592107772827, 1653749074.53055, 'hit']
['s3', '192.240.1.1', 15.566027164459229, 1653749074.590986, 'hit']
['s3', '192.240.1.4', 15.625890016555786, 1653749074.650849, 'hit']
['s3', '192.240.1.5', 15.754979133605957, 1653749074.779938, 'hit']
['s3', '192.0.1.8', 15.839301109313965, 1653749074.86426, 'hit']
['s3', '192.0.1.10', 15.91334319114685, 1653749074.938337, 'hit']
['s3', '192.240.1.2', 16.032247066497803, 1653749075.057205, 'hit']
['s3', '192.240.1.2', 16.07226014137268, 1653749075.097218, 'hit']
['s3', '192.240.1.1', 16.159507036209106, 1653749075.184466, 'hit']
['s3', '192.240.1.3', 16.284274101257324, 1653749075.309233, 'hit']
['s3', '192.240.1.5', 16.393259048461914, 1653749075.418218, 'hit']
['s3', '192.0.1.7', 16.49975609779358, 1653749075.524714, 'hit']
['s3', '192.0.1.10', 16.541913986206055, 1653749075.566873, 'hit']
['s3', '192.240.1.2', 16.620095014572144, 1653749075.645053, 'hit']
['s3', '192.240.1.2', 16.73759913444519, 1653749075.762558, 'hit']
['s3', '192.240.1.4', 16.80662703514099, 1653749075.831585, 'hit']
['s3', '192.0.1.6', 16.9469211101532, 1653749075.971879, 'hit']
['s3', '192.0.1.8', 17.00319004058838, 1653749076.028148, 'hit']
['s3', '192.0.1.7', 17.032297134399414, 1653749076.057255, 'hit']
['s3', '192.0.1.10', 17.14220118522644, 1653749076.16716, 'hit']
['s3', '192.240.1.2', 17.2451171875, 1653749076.270075, 'hit']
['s3', '192.240.1.1', 17.36699104309082, 1653749076.39195, 'hit']
['s3', '192.240.1.3', 17.475385189056396, 1653749076.500343, 'hit']
['s3', '192.240.1.5', 17.592993021011353, 1653749076.617951, 'hit']
['s3', '192.0.1.8', 17.654786109924316, 1653749076.679744, 'hit']
['s3', '192.0.1.10', 17.759443998336792, 1653749076.784403, 'hit']
['s3', '192.240.1.2', 17.873239994049072, 1653749076.898198, 'hit']
['s3', '192.240.1.2', 17.926099061965942, 1653749076.951058, 'hit']
['s3', '192.240.1.1', 18.027998208999634, 1653749077.052957, 'hit']
['s3', '192.240.1.4', 18.081783056259155, 1653749077.106742, 'hit']
['s3', '192.240.1.2', 18.134979009628296, 1653749077.159937, 'hit']
['s3', '192.240.1.5', 18.21522307395935, 1653749077.240181, 'hit']
['s3', '192.0.1.8', 18.308475017547607, 1653749077.333433, 'hit']
['s3', '192.0.1.10', 18.416234016418457, 1653749077.441193, 'hit']
['s3', '192.240.1.2', 18.54584312438965, 1653749077.570801, 'hit']
['s3', '192.240.1.1', 18.634479999542236, 1653749077.659439, 'hit']
['s3', '192.240.1.4', 18.670767068862915, 1653749077.695726, 'hit']
['s3', '192.240.1.3', 18.76481008529663, 1653749077.789769, 'hit']
['s3', '192.0.1.6', 18.796694040298462, 1653749077.821653, 'hit']
['s3', '192.240.1.5', 18.861693143844604, 1653749077.886652, 'hit']
['s3', '192.0.1.7', 18.97295308113098, 1653749077.997911, 'hit']
['s3', '192.240.1.2', 19.068580150604248, 1653749078.093538, 'hit']
['s3', '192.240.1.2', 19.13730812072754, 1653749078.162267, 'hit']
['s3', '192.240.1.4', 19.228482007980347, 1653749078.25344, 'hit']
['s3', '192.0.1.6', 19.360557079315186, 1653749078.385515, 'hit']
['s3', '192.0.1.8', 19.4538631439209, 1653749078.478821, 'hit']
['s3', '192.0.1.10', 19.56594705581665, 1653749078.590907, 'hit']
['s3', '192.240.1.2', 19.654222011566162, 1653749078.67918, 'hit']
['s3', '192.240.1.1', 19.768004179000854, 1653749078.792963, 'hit']
['s3', '192.240.1.3', 19.88601016998291, 1653749078.910968, 'hit']
['s3', '192.240.1.5', 20.00415301322937, 1653749079.029111, 'hit']
['s3', '192.0.1.7', 20.097220182418823, 1653749079.122179, 'hit']
['s3', '192.0.1.10', 20.13887906074524, 1653749079.163837, 'hit']
['s3', '192.240.1.2', 20.258195161819458, 1653749079.283153, 'hit']
['s3', '192.240.1.2', 20.28694200515747, 1653749079.3119, 'hit']
['s3', '192.240.1.4', 20.427021026611328, 1653749079.451979, 'hit']
['s3', '192.0.1.6', 20.512887001037598, 1653749079.537845, 'hit']
['s3', '192.240.1.5', 20.549070119857788, 1653749079.574028, 'hit']
['s3', '192.0.1.8', 20.642726182937622, 1653749079.667685, 'hit']
['s3', '192.0.1.7', 20.65506410598755, 1653749079.680022, 'hit']
['s3', '192.0.1.10', 20.716665029525757, 1653749079.741624, 'hit']
