['s3', '192.240.2.2', 25.260766983032227, 'hit']
['s3', '192.240.2.2', 25.32124900817871, 'hit']
['s3', '192.240.2.2', 25.876708030700684, 'hit']
['s3', '192.240.2.2', 25.929054975509644, 'hit']
['s3', '192.240.2.2', 26.439845085144043, 'hit']
['s3', '192.240.2.2', 26.52011203765869, 'hit']
['s3', '192.240.2.2', 27.204504013061523, 'hit']
['s3', '192.240.2.2', 27.7726309299469, 'hit']
['s3', '192.240.2.2', 27.817389011383057, 'hit']
['s3', '192.240.2.2', 28.527770042419434, 'hit']
['s3', '192.240.2.2', 29.122440099716187, 'hit']
['s3', '192.240.2.2', 29.202143907546997, 'hit']
['s3', '192.240.2.2', 29.80088710784912, 'hit']
['s3', '192.240.2.2', 29.844871044158936, 'hit']
['s3', '192.240.2.2', 30.398916006088257, 'hit']
['s3', '192.240.2.2', 30.468313932418823, 'hit']
['s3', '192.240.2.2', 31.0639910697937, 'hit']
['s3', '192.240.2.2', 31.642566919326782, 'hit']
['s3', '192.240.2.2', 31.755258083343506, 'hit']
['s3', '192.240.2.2', 32.380539894104004, 'hit']
['s3', '192.240.2.2', 32.43873691558838, 'hit']
['s3', '192.240.2.2', 33.05900502204895, 'hit']
['s3', '192.240.2.2', 33.144129037857056, 'hit']
['s3', '192.240.2.2', 33.773585081100464, 'hit']
['s3', '192.240.2.2', 33.812947034835815, 'hit']
['s3', '192.240.2.2', 34.40208196640015, 'hit']
['s3', '192.240.2.2', 34.50989389419556, 'hit']
['s3', '192.240.2.2', 35.14854192733765, 'hit']
['s3', '192.240.2.2', 35.16836190223694, 'hit']
['s3', '192.240.2.2', 35.771281003952026, 'hit']
['s3', '192.240.2.2', 35.84628200531006, 'hit']
['s3', '192.240.2.2', 36.44827699661255, 'hit']
['s3', '192.240.2.2', 37.09620809555054, 'hit']
['s3', '192.240.2.2', 37.18008089065552, 'hit']
['s3', '192.240.2.2', 37.806626081466675, 'hit']
['s3', '192.240.2.2', 38.39606499671936, 'hit']
['s3', '192.240.2.2', 38.476173877716064, 'hit']
['s3', '192.240.2.2', 39.09564995765686, 'hit']
['s3', '192.240.2.2', 39.71676206588745, 'hit']
['s3', '192.240.2.2', 39.80355405807495, 'hit']
['s3', '192.240.2.2', 40.48985505104065, 'hit']
['s3', '192.240.2.2', 41.11454200744629, 'hit']
['s3', '192.240.2.2', 41.20575499534607, 'hit']
['s3', '192.240.2.2', 41.728561878204346, 'hit']
['s3', '192.240.2.2', 41.797038078308105, 'hit']
['s3', '192.240.2.2', 42.35407304763794, 'hit']
['s3', '192.240.2.2', 42.48431706428528, 'hit']
['s3', '192.240.2.2', 42.94196105003357, 'hit']
['s3', '192.240.2.2', 42.97131609916687, 'hit']
['s3', '192.240.2.2', 43.58216309547424, 'hit']
['s3', '192.240.2.2', 43.6462140083313, 'hit']
['s3', '192.240.2.2', 44.24931788444519, 'hit']
['s3', '192.240.2.2', 44.29287910461426, 'hit']
['s3', '192.240.2.2', 44.90530300140381, 'hit']
['s3', '192.240.2.2', 45.030221939086914, 'hit']
['s3', '192.240.2.2', 45.65596008300781, 'hit']
['s3', '192.240.2.2', 46.36796593666077, 'hit']
['s3', '192.240.2.2', 46.44472599029541, 'hit']
['s3', '192.240.2.2', 47.083152055740356, 'hit']
['s3', '192.240.2.2', 47.71228504180908, 'hit']
['s3', '192.240.2.2', 47.828145027160645, 'hit']
['s3', '192.240.2.2', 48.48936200141907, 'hit']
['s3', '192.240.2.2', 48.537132024765015, 'hit']
['s3', '192.240.2.2', 49.14856791496277, 'hit']
['s3', '192.240.2.2', 49.21605205535889, 'hit']
