['s2', '192.240.10.102', 60.96528911590576, 'hit']
['s2', '192.240.2.2', 62.9298779964447, 'hit']
['s2', '192.0.10.10', 62.97843313217163, 'hit']
['s2', '192.240.2.2', 63.00657510757446, 'hit']
['s2', '192.240.2.2', 66.08272290229797, 'hit']
['s2', '192.240.2.2', 66.173583984375, 'hit']
['s2', '192.240.2.2', 68.93062806129456, 'hit']
['s2', '192.240.2.5', 70.24074792861938, 'hit']
['s2', '192.0.2.7', 70.3694920539856, 'hit']
['s2', '192.0.2.9', 70.48724412918091, 'hit']
['s2', '192.240.2.2', 70.5842170715332, 'hit']
['s2', '192.240.2.2', 70.61067509651184, 'hit']
['s2', '192.0.10.10', 70.72132205963135, 'hit']
['s2', '192.240.10.102', 70.84705209732056, 'hit']
['s2', '192.240.10.102', 70.97652196884155, 'hit']
['s2', '192.0.10.10', 71.00684905052185, 'hit']
['s2', '192.240.2.5', 71.03382897377014, 'hit']
['s2', '192.0.2.7', 71.13101100921631, 'hit']
['s2', '192.0.2.9', 71.25465798377991, 'hit']
['s2', '192.240.2.2', 71.2856969833374, 'hit']
['s2', '192.240.2.2', 71.34612607955933, 'hit']
['s2', '192.240.2.1', 71.37026405334473, 'hit']
['s2', '192.240.2.3', 71.49419593811035, 'hit']
['s2', '192.240.2.5', 71.59531712532043, 'hit']
['s2', '192.0.2.8', 71.6901650428772, 'hit']
['s2', '192.0.2.7', 71.7187569141388, 'hit']
['s2', '192.0.2.10', 71.78223490715027, 'hit']
['s2', '192.0.2.9', 71.81004190444946, 'hit']
['s2', '192.240.2.2', 71.90032505989075, 'hit']
['s2', '192.240.2.1', 72.95537900924683, 'hit']
['s2', '192.240.2.4', 73.07699608802795, 'hit']
['s2', '192.0.2.6', 73.2576699256897, 'hit']
['s2', '192.0.2.8', 73.51478290557861, 'hit']
['s2', '192.0.2.7', 73.55519795417786, 'hit']
['s2', '192.0.2.10', 73.64978003501892, 'hit']
['s2', '192.0.2.9', 73.70160603523254, 'hit']
['s2', '192.240.2.2', 73.8506989479065, 'hit']
['s2', '192.240.2.2', 73.89375710487366, 'hit']
['s2', '192.240.2.1', 74.3013870716095, 'hit']
['s2', '192.240.2.3', 74.53575205802917, 'hit']
['s2', '192.240.2.5', 74.70235705375671, 'hit']
['s2', '192.0.2.7', 74.89447808265686, 'hit']
['s2', '192.0.2.9', 75.03492999076843, 'hit']
['s2', '192.0.10.10', 75.95379900932312, 'hit']
['s2', '192.240.2.2', 76.00831604003906, 'hit']
['s2', '192.240.2.2', 76.05175304412842, 'hit']
['s2', '192.240.2.1', 80.92111611366272, 'hit']
['s2', '192.0.10.10', 81.20522904396057, 'hit']
['s2', '192.0.2.6', 81.26831197738647, 'hit']
['s2', '192.240.2.5', 81.32889795303345, 'hit']
['s2', '192.0.2.8', 81.36515092849731, 'hit']
['s2', '192.0.2.7', 81.45455312728882, 'hit']
['s2', '192.0.2.10', 81.48907494544983, 'hit']
['s2', '192.0.2.9', 81.54487991333008, 'hit']
['s2', '192.240.2.2', 82.14517712593079, 'hit']
['s2', '192.240.2.4', 82.35754489898682, 'hit']
['s2', '192.240.2.3', 82.51928901672363, 'hit']
['s2', '192.0.2.6', 82.76125311851501, 'hit']
['s2', '192.0.2.8', 82.86360812187195, 'hit']
['s2', '192.0.2.7', 82.89779090881348, 'hit']
['s2', '192.0.2.10', 83.13380408287048, 'hit']
['s2', '192.0.2.9', 83.2293210029602, 'hit']
['s2', '192.240.2.2', 83.28880906105042, 'hit']
['s2', '192.240.2.2', 83.34864091873169, 'hit']
['s2', '192.240.2.1', 83.74486112594604, 'hit']
['s2', '192.240.2.4', 83.84991502761841, 'hit']
['s2', '192.240.2.3', 83.88183999061584, 'hit']
['s2', '192.0.2.6', 84.00220894813538, 'hit']
['s2', '192.0.2.8', 84.90833497047424, 'hit']
['s2', '192.0.2.10', 86.46990203857422, 'hit']
['s2', '192.0.2.9', 86.55813002586365, 'hit']
['s2', '192.240.2.2', 86.8657169342041, 'hit']
['s2', '192.240.2.1', 86.9022490978241, 'hit']
['s2', '192.240.2.4', 87.91437292098999, 'hit']
['s2', '192.240.2.3', 87.9930329322815, 'hit']
['s2', '192.0.2.6', 88.06512498855591, 'hit']
['s2', '192.240.10.102', 88.16712999343872, 'hit']
['s2', '192.0.10.10', 88.2441349029541, 'hit']
['s2', '192.0.2.8', 88.76641798019409, 'hit']
['s2', '192.0.2.7', 88.87335395812988, 'hit']
['s2', '192.0.2.10', 88.91173601150513, 'hit']
['s2', '192.0.10.10', 89.000981092453, 'hit']
['s2', '192.0.2.9', 89.05644297599792, 'hit']
['s2', '192.240.2.2', 89.10358595848083, 'hit']
['s2', '192.240.2.2', 89.24152708053589, 'hit']
['s2', '192.240.2.4', 89.47752499580383, 'hit']
['s2', '192.240.2.3', 89.91913509368896, 'hit']
['s2', '192.0.2.6', 90.001708984375, 'hit']
['s2', '192.240.2.5', 90.05783891677856, 'hit']
['s2', '192.0.2.8', 90.20705699920654, 'hit']
['s2', '192.0.2.7', 90.40962195396423, 'hit']
['s2', '192.0.2.10', 90.44322896003723, 'hit']
['s2', '192.0.2.9', 90.54115509986877, 'hit']
['s2', '192.240.2.2', 90.93016600608826, 'hit']
['s2', '192.240.2.2', 91.0094211101532, 'hit']
['s2', '192.240.2.1', 91.04540300369263, 'hit']
['s2', '192.240.2.4', 91.91770195960999, 'hit']
['s2', '192.0.2.6', 92.04524993896484, 'hit']
['s2', '192.240.2.5', 92.08891892433167, 'hit']
['s2', '192.0.2.8', 92.16219592094421, 'hit']
['s2', '192.0.2.7', 92.18659901618958, 'hit']
['s2', '192.0.2.10', 92.28694891929626, 'hit']
['s2', '192.0.2.9', 92.41630005836487, 'hit']
['s2', '192.240.2.2', 92.50190901756287, 'hit']
['s2', '192.240.2.1', 92.53808307647705, 'hit']
['s2', '192.240.2.4', 92.66511392593384, 'hit']
['s2', '192.0.2.6', 92.75950694084167, 'hit']
['s2', '192.240.2.5', 92.7898371219635, 'hit']
['s2', '192.0.2.8', 93.84621596336365, 'hit']
['s2', '192.0.2.7', 93.87480998039246, 'hit']
['s2', '192.0.2.10', 93.94195008277893, 'hit']
['s2', '192.0.2.9', 94.91090798377991, 'hit']
['s2', '192.0.10.10', 95.3183069229126, 'hit']
['s2', '192.240.2.2', 95.35810589790344, 'hit']
['s2', '192.240.10.102', 95.39806604385376, 'hit']
['s2', '192.0.10.10', 95.43710613250732, 'hit']
['s2', '192.240.2.1', 95.49870800971985, 'hit']
['s2', '192.240.10.102', 95.53798294067383, 'hit']
['s2', '192.240.2.4', 95.57390689849854, 'hit']
['s2', '192.240.2.3', 95.605633020401, 'hit']
['s2', '192.0.2.6', 95.70593690872192, 'hit']
['s2', '192.0.2.8', 95.95635890960693, 'hit']
['s2', '192.0.2.7', 95.97842502593994, 'hit']
['s2', '192.0.2.10', 96.07440400123596, 'hit']
['s2', '192.0.2.9', 96.09797191619873, 'hit']
['s2', '192.240.2.2', 96.18110704421997, 'hit']
['s2', '192.240.2.1', 96.30536103248596, 'hit']
['s2', '192.240.2.3', 96.39685606956482, 'hit']
['s2', '192.240.2.5', 96.5167920589447, 'hit']
['s2', '192.0.2.7', 96.95900893211365, 'hit']
['s2', '192.0.2.9', 97.09445691108704, 'hit']
['s2', '192.240.2.2', 97.9883439540863, 'hit']
['s2', '192.240.2.1', 98.07754802703857, 'hit']
['s2', '192.240.2.3', 98.17677903175354, 'hit']
['s2', '192.240.2.5', 99.92471504211426, 'hit']
['s2', '192.0.2.7', 99.98122596740723, 'hit']
['s2', '192.0.2.10', 100.06572794914246, 'hit']
['s2', '192.0.2.9', 100.09844303131104, 'hit']
['s2', '192.240.2.2', 100.16665410995483, 'hit']
['s2', '192.240.2.2', 100.19011807441711, 'hit']
['s2', '192.240.2.1', 100.28914594650269, 'hit']
['s2', '192.240.2.4', 100.32714009284973, 'hit']
['s2', '192.240.2.3', 100.39697790145874, 'hit']
['s2', '192.0.2.6', 100.43372702598572, 'hit']
['s2', '192.0.10.10', 100.49883794784546, 'hit']
['s2', '192.240.2.5', 100.90802693367004, 'hit']
['s2', '192.0.2.8', 100.94225001335144, 'hit']
['s2', '192.240.10.102', 100.9699981212616, 'hit']
['s2', '192.0.2.7', 100.99830508232117, 'hit']
['s2', '192.0.2.10', 101.03062009811401, 'hit']
['s2', '192.240.10.102', 101.06261491775513, 'hit']
['s2', '192.0.10.10', 101.09515309333801, 'hit']
['s2', '192.240.2.2', 101.252769947052, 'hit']
['s2', '192.240.2.2', 101.91651201248169, 'hit']
['s2', '192.240.2.4', 102.09615993499756, 'hit']
['s2', '192.240.2.3', 102.23494410514832, 'hit']
['s2', '192.240.2.5', 102.31490206718445, 'hit']
['s2', '192.0.2.7', 102.46989893913269, 'hit']
['s2', '192.0.2.9', 102.94361805915833, 'hit']
['s2', '192.240.2.2', 103.11819791793823, 'hit']
['s2', '192.240.2.2', 103.23408007621765, 'hit']
['s2', '192.240.2.4', 103.56670212745667, 'hit']
['s2', '192.240.2.3', 103.59821796417236, 'hit']
['s2', '192.0.2.6', 105.90920901298523, 'hit']
['s2', '192.0.2.8', 106.08938694000244, 'hit']
['s2', '192.0.2.10', 106.94872307777405, 'hit']
['s2', '192.240.2.2', 107.18745493888855, 'hit']
['s2', '192.240.2.1', 107.27023005485535, 'hit']
['s2', '192.240.2.3', 107.36158800125122, 'hit']
['s2', '192.240.2.5', 107.42589592933655, 'hit']
['s2', '192.0.2.8', 107.44610095024109, 'hit']
['s2', '192.0.2.7', 107.50921392440796, 'hit']
['s2', '192.0.2.10', 107.53405213356018, 'hit']
['s2', '192.0.2.9', 107.58973407745361, 'hit']
['s2', '192.0.10.10', 107.6878719329834, 'hit']
['s2', '192.240.2.1', 107.75895190238953, 'hit']
['s2', '192.240.2.4', 107.81766200065613, 'hit']
['s2', '192.240.2.3', 107.8627381324768, 'hit']
['s2', '192.0.10.10', 107.9372010231018, 'hit']
['s2', '192.240.10.102', 108.03444790840149, 'hit']
['s2', '192.240.2.5', 109.91702699661255, 'hit']
['s2', '192.0.2.7', 110.90212202072144, 'hit']
['s2', '192.0.2.10', 113.95015001296997, 'hit']
['s2', '192.0.2.9', 114.91685199737549, 'hit']
['s2', '192.240.2.2', 115.00986289978027, 'hit']
['s2', '192.240.2.4', 115.11066794395447, 'hit']
['s2', '192.240.2.3', 115.13829493522644, 'hit']
['s2', '192.0.2.6', 115.19136691093445, 'hit']
['s2', '192.0.2.8', 115.54394102096558, 'hit']
['s2', '192.0.2.10', 116.361741065979, 'hit']
['s2', '192.0.2.9', 116.44295310974121, 'hit']
['s2', '192.240.2.2', 116.4780580997467, 'hit']
['s2', '192.240.2.2', 116.52923011779785, 'hit']
['s2', '192.240.2.4', 116.9212749004364, 'hit']
['s2', '192.240.2.3', 116.95406889915466, 'hit']
['s2', '192.0.2.6', 117.01338195800781, 'hit']
['s2', '192.240.2.5', 117.04572010040283, 'hit']
