['s4', '192.0.1.6', 9.11227011680603, 'hit']
['s4', '192.0.1.8', 9.192554950714111, 'hit']
['s4', '192.0.1.7', 9.26056694984436, 'hit']
['s4', '192.0.1.9', 9.328550100326538, 'hit']
['s4', '192.0.1.10', 9.781101942062378, 'hit']
['s4', '192.0.10.10', 9.951435089111328, 'hit']
['s4', '192.0.10.9', 10.138689994812012, 'hit']
['s4', '192.0.10.119', 10.959325075149536, 'hit']
['s4', '192.0.10.117', 11.0312340259552, 'hit']
['s4', '192.0.2.8', 11.183475971221924, 'hit']
['s4', '192.0.10.7', 11.234760046005249, 'hit']
['s4', '192.0.2.10', 11.289054155349731, 'hit']
['s4', '192.0.10.116', 11.386553049087524, 'hit']
['s4', '192.0.10.115', 11.486708164215088, 'hit']
['s4', '192.0.10.111', 11.55823802947998, 'hit']
['s4', '192.0.10.10', 11.628920078277588, 'hit']
['s4', '192.0.10.10', 11.745929956436157, 'hit']
['s4', '192.0.2.9', 11.794674158096313, 'hit']
['s4', '192.0.10.9', 11.98119306564331, 'hit']
['s4', '192.0.2.6', 12.090996026992798, 'hit']
['s4', '192.0.2.7', 12.233263969421387, 'hit']
['s4', '192.0.10.113', 12.588840007781982, 'hit']
['s4', '192.0.1.6', 12.628736972808838, 'hit']
['s4', '192.0.10.113', 12.672543048858643, 'hit']
['s4', '192.0.1.8', 12.713292121887207, 'hit']
['s4', '192.0.10.119', 12.764611959457397, 'hit']
['s4', '192.0.10.8', 12.807861089706421, 'hit']
['s4', '192.0.10.117', 12.838219165802002, 'hit']
['s4', '192.0.10.114', 12.92972207069397, 'hit']
['s4', '192.0.10.120', 13.00104808807373, 'hit']
['s4', '192.0.10.7', 13.028442144393921, 'hit']
['s4', '192.0.10.118', 13.103179931640625, 'hit']
['s4', '192.0.2.8', 13.128662109375, 'hit']
['s4', '192.0.10.116', 13.185431003570557, 'hit']
['s4', '192.0.10.6', 13.208861112594604, 'hit']
['s4', '192.0.2.10', 13.234679937362671, 'hit']
['s4', '192.0.1.10', 13.26231598854065, 'hit']
['s4', '192.0.10.115', 13.284808158874512, 'hit']
['s4', '192.0.1.9', 13.34487009048462, 'hit']
['s4', '192.0.10.112', 13.392693042755127, 'hit']
['s4', '192.0.10.112', 13.44890809059143, 'hit']
['s4', '192.0.10.10', 13.477982997894287, 'hit']
['s4', '192.0.2.6', 13.501068115234375, 'hit']
['s4', '192.0.10.10', 13.54958200454712, 'hit']
['s4', '192.0.2.7', 13.649147987365723, 'hit']
['s4', '192.0.1.7', 13.702742099761963, 'hit']
['s4', '192.0.2.9', 13.741687059402466, 'hit']
['s4', '192.0.10.9', 13.833136081695557, 'hit']
['s4', '192.0.10.9', 13.901442050933838, 'hit']
['s4', '192.0.2.8', 14.105587005615234, 'hit']
['s4', '192.0.2.10', 14.220872163772583, 'hit']
['s4', '192.0.10.113', 14.480463027954102, 'hit']
['s4', '192.0.2.6', 14.517343997955322, 'hit']
['s4', '192.0.10.113', 14.540328979492188, 'hit']
['s4', '192.0.10.119', 14.579484939575195, 'hit']
['s4', '192.0.1.6', 14.624459981918335, 'hit']
['s4', '192.0.2.7', 14.668703079223633, 'hit']
['s4', '192.0.10.117', 14.725412130355835, 'hit']
['s4', '192.0.10.8', 14.75290298461914, 'hit']
['s4', '192.0.2.9', 14.776914119720459, 'hit']
['s4', '192.0.10.114', 14.821491003036499, 'hit']
['s4', '192.0.10.7', 14.863508939743042, 'hit']
['s4', '192.0.10.120', 14.894093990325928, 'hit']
['s4', '192.0.10.7', 14.921694993972778, 'hit']
['s4', '192.0.10.118', 14.996876955032349, 'hit']
['s4', '192.0.10.6', 15.031299114227295, 'hit']
['s4', '192.0.10.116', 15.082633972167969, 'hit']
['s4', '192.0.10.6', 15.114537000656128, 'hit']
['s4', '192.0.10.115', 15.19383716583252, 'hit']
['s4', '192.0.2.10', 15.20878005027771, 'hit']
['s4', '192.0.1.8', 15.253041982650757, 'hit']
['s4', '192.0.10.112', 15.293730020523071, 'hit']
['s4', '192.0.1.10', 15.317461967468262, 'hit']
['s4', '192.0.1.9', 15.341840028762817, 'hit']
['s4', '192.0.10.10', 15.39842700958252, 'hit']
['s4', '192.0.10.10', 15.465017080307007, 'hit']
['s4', '192.0.2.6', 15.513766050338745, 'hit']
['s4', '192.0.2.8', 15.586874961853027, 'hit']
['s4', '192.0.2.7', 15.669440031051636, 'hit']
['s4', '192.0.10.9', 15.761950016021729, 'hit']
['s4', '192.0.10.9', 15.809211015701294, 'hit']
['s4', '192.0.1.6', 16.157369136810303, 'hit']
['s4', '192.0.1.7', 16.27291512489319, 'hit']
['s4', '192.0.10.113', 16.393721103668213, 'hit']
['s4', '192.0.10.119', 16.481672048568726, 'hit']
['s4', '192.0.10.117', 16.5769259929657, 'hit']
['s4', '192.0.10.8', 16.600696086883545, 'hit']
['s4', '192.0.10.114', 16.659496068954468, 'hit']
['s4', '192.0.2.10', 16.696494102478027, 'hit']
['s4', '192.0.2.9', 16.72130799293518, 'hit']
