['s3', '192.0.10.10', 8.394132137298584, 1654154633.220113, 'hit']
['s3', '192.0.10.10', 8.490424156188965, 1654154633.316406, 'hit']
['s3', '192.0.10.10', 9.158164024353027, 1654154633.984145, 'hit']
['s3', '192.0.10.10', 9.195111989974976, 1654154634.021094, 'hit']
['s3', '192.0.10.10', 9.842312097549438, 1654154634.668294, 'hit']
['s3', '192.0.10.10', 9.91481900215149, 1654154634.740801, 'hit']
['s3', '192.0.10.10', 10.479375123977661, 1654154635.305356, 'hit']
['s3', '192.0.10.10', 10.526790142059326, 1654154635.352771, 'hit']
['s3', '192.0.10.10', 11.030927181243896, 1654154635.856908, 'hit']
['s3', '192.0.10.10', 11.120216131210327, 1654154635.946197, 'hit']
['s3', '192.0.10.10', 11.642985105514526, 1654154636.468966, 'hit']
['s3', '192.0.10.10', 11.685128211975098, 1654154636.511109, 'hit']
['s3', '192.0.10.7', 12.110582113265991, 1654154636.936563, 'hit']
['s3', '192.0.10.10', 12.27195119857788, 1654154637.097932, 'hit']
['s3', '192.0.10.10', 12.323661088943481, 1654154637.149642, 'hit']
['s3', '192.240.10.1', 12.578773021697998, 1654154637.404754, 'hit']
['s3', '192.0.10.7', 12.720547199249268, 1654154637.546529, 'hit']
['s3', '192.0.10.10', 12.87017011642456, 1654154637.696151, 'hit']
['s3', '192.0.10.10', 12.903526067733765, 1654154637.729507, 'hit']
['s3', '192.240.10.1', 13.202775001525879, 1654154638.028757, 'hit']
['s3', '192.0.10.7', 13.313490152359009, 1654154638.139472, 'hit']
['s3', '192.0.10.10', 13.440279006958008, 1654154638.266261, 'hit']
['s3', '192.0.10.7', 13.53138518333435, 1654154638.357367, 'hit']
['s3', '192.240.10.1', 13.811419010162354, 1654154638.637401, 'hit']
['s3', '192.0.10.7', 13.942949056625366, 1654154638.768931, 'hit']
['s3', '192.240.10.5', 14.082929134368896, 1654154638.908911, 'hit']
['s3', '192.0.10.10', 14.157299041748047, 1654154638.98328, 'hit']
['s3', '192.240.10.2', 14.43906021118164, 1654154639.265042, 'hit']
['s3', '192.240.10.1', 14.552885055541992, 1654154639.378867, 'hit']
['s3', '192.0.10.7', 14.630856990814209, 1654154639.456838, 'hit']
['s3', '192.240.10.5', 14.747430086135864, 1654154639.573412, 'hit']
['s3', '192.0.10.10', 14.826497077941895, 1654154639.652478, 'hit']
['s3', '192.240.10.3', 15.010034084320068, 1654154639.836015, 'hit']
['s3', '192.240.10.2', 15.103227138519287, 1654154639.929208, 'hit']
['s3', '192.0.10.8', 15.237696170806885, 1654154640.063677, 'hit']
['s3', '192.240.10.5', 15.347292184829712, 1654154640.173274, 'hit']
['s3', '192.0.10.10', 15.42428207397461, 1654154640.250264, 'hit']
['s3', '192.0.10.9', 15.513740062713623, 1654154640.339722, 'hit']
['s3', '192.240.10.4', 15.570219993591309, 1654154640.396201, 'hit']
['s3', '192.240.10.3', 15.670209169387817, 1654154640.49619, 'hit']
