['s6', '192.240.1.2', 59.86535716056824, 1653504919.817415, 'hit']
['s6', '192.240.10.102', 59.912785053253174, 1653504919.864842, 'hit']
['s6', '192.240.1.1', 59.968849182128906, 1653504919.920906, 'hit']
['s6', '192.240.1.4', 60.029240131378174, 1653504919.981298, 'hit']
['s6', '192.0.1.6', 60.1194281578064, 1653504920.071485, 'hit']
['s6', '192.0.10.9', 60.166463136672974, 1653504920.118521, 'hit']
['s6', '192.0.10.9', 60.20822215080261, 1653504920.160279, 'hit']
['s6', '192.0.1.8', 60.283632040023804, 1653504920.235689, 'hit']
['s6', '192.0.1.10', 60.38410019874573, 1653504920.336157, 'hit']
['s6', '192.240.1.2', 60.43370223045349, 1653504920.385759, 'hit']
['s6', '192.240.1.2', 60.46971821784973, 1653504920.421775, 'hit']
['s6', '192.240.1.2', 60.524402141571045, 1653504920.476459, 'hit']
['s6', '192.240.10.105', 60.55058312416077, 1653504920.50264, 'hit']
['s6', '192.240.10.108', 60.60142517089844, 1653504920.553482, 'hit']
['s6', '192.240.10.108', 60.65076518058777, 1653504920.602822, 'hit']
['s6', '192.240.10.3', 60.68046522140503, 1653504920.632522, 'hit']
['s6', '192.240.1.4', 60.71102809906006, 1653504920.663085, 'hit']
['s6', '192.0.1.6', 60.774004220962524, 1653504920.726061, 'hit']
['s6', '192.240.1.5', 60.81058216094971, 1653504920.762639, 'hit']
['s6', '192.0.1.8', 60.84875512123108, 1653504920.800813, 'hit']
['s6', '192.0.1.8', 60.90235114097595, 1653504920.854408, 'hit']
['s6', '192.0.1.10', 60.94619417190552, 1653504920.898251, 'hit']
['s6', '192.0.1.7', 60.99513816833496, 1653504920.947196, 'hit']
['s6', '192.240.10.109', 61.02981400489807, 1653504920.981871, 'hit']
['s6', '192.0.1.10', 61.06189012527466, 1653504921.013948, 'hit']
['s6', '192.240.1.2', 61.09760904312134, 1653504921.049666, 'hit']
['s6', '192.0.10.113', 61.12909507751465, 1653504921.081152, 'hit']
['s6', '192.240.1.2', 61.1918420791626, 1653504921.143899, 'hit']
['s6', '192.240.1.1', 61.24029207229614, 1653504921.192349, 'hit']
