['Write', '192.10.10.15', 32]
['Write', '192.10.10.18', 32]
['Write', '192.10.10.25', 32]
['Write', '192.10.10.11', 32]
['Write', '192.10.10.20', 32]
['Write', '192.10.10.24', 32]
['Write', '192.10.10.13', 32]
['Write', '192.10.10.22', 32]
['Delete', '192.10.10.23', 32]
['Write', '192.10.10.23', 32]
['Delete', '192.10.10.25', 32]
['Write', '192.10.10.25', 32]
['Delete', '192.10.10.19', 32]
['Write', '192.10.10.19', 32]
['Delete', '192.10.10.17', 32]
['Write', '192.10.10.17', 32]
['Delete', '192.10.10.15', 32]
['Write', '192.10.10.15', 32]
['Delete', '192.10.10.11', 32]
['Write', '192.10.10.11', 32]
['Delete', '192.10.10.23', 32]
['Write', '192.10.10.23', 32]
['Delete', '192.10.10.25', 32]
['Write', '192.10.10.25', 32]
['Delete', '192.10.10.22', 32]
['Write', '192.10.10.22', 32]
['Delete', '192.10.10.14', 32]
['Write', '192.10.10.14', 32]
['Delete', '192.10.10.18', 32]
['Write', '192.10.10.18', 32]
['Delete', '192.10.10.15', 32]
['Write', '192.10.10.15', 32]
['Delete', '192.10.10.11', 32]
['Write', '192.10.10.11', 32]
['Delete', '192.10.10.20', 32]
['Write', '192.10.10.20', 32]
['Delete', '192.10.10.22', 32]
['Write', '192.10.10.22', 32]
['Delete', '192.10.10.23', 32]
['Write', '192.10.10.23', 32]
['Delete', '192.10.10.25', 32]
['Write', '192.10.10.25', 32]
['Delete', '192.10.10.17', 32]
['Write', '192.10.10.17', 32]
['Delete', '192.10.10.20', 32]
['Write', '192.10.10.20', 32]
['Delete', '192.10.10.15', 32]
['Write', '192.10.10.15', 32]
['Delete', '192.10.10.11', 32]
['Write', '192.10.10.11', 32]
['Delete', '192.10.10.19', 32]
['Write', '192.10.10.19', 32]
['Delete', '192.10.10.25', 32]
['Write', '192.10.10.25', 32]
['Delete', '192.10.10.23', 32]
['Write', '192.10.10.23', 32]
['Delete', '192.10.10.21', 32]
['Write', '192.10.10.21', 32]
['Delete', '192.10.10.22', 32]
['Write', '192.10.10.22', 32]
['Delete', '192.10.10.14', 32]
['Write', '192.10.10.14', 32]
['Delete', '192.10.10.18', 32]
['Write', '192.10.10.18', 32]
['Delete', '192.10.10.19', 32]
['Write', '192.10.10.19', 32]
